歌手,歌名,关注量,歌曲id,链接
任然,飞鸟和蝉,282.3万,270283298,https://y.qq.com/n/ryqq/songDetail/004Fimy419PpsA
任然,无人之岛,282.3万,203452364,https://y.qq.com/n/ryqq/songDetail/001fTFGe0LqzdT
任然,落海,282.3万,307167242,https://y.qq.com/n/ryqq/songDetail/002otIR30L2LZO
任然,难堪,282.3万,332441237,https://y.qq.com/n/ryqq/songDetail/003mcx3e2S0bqa
任然,后继者,282.3万,109391882,https://y.qq.com/n/ryqq/songDetail/003qKlqV1PVMB8
任然,关键词,282.3万,201816550,https://y.qq.com/n/ryqq/songDetail/003Ph9WS2YraQM
任然,雀跃,282.3万,317328330,https://y.qq.com/n/ryqq/songDetail/002xADAG0ndpws
任然,疑心病,282.3万,105519196,https://y.qq.com/n/ryqq/songDetail/003HSdVY3Z3GST
任然,空空如也,282.3万,212676452,https://y.qq.com/n/ryqq/songDetail/001OFCtb1K2hBU
任然,走不出的回忆,282.3万,108966508,https://y.qq.com/n/ryqq/songDetail/002X2A9s2qIVBe
程响,时光洪流,143.1万,320315208,https://y.qq.com/n/ryqq/songDetail/001YVo3U4H3LLH
程响,四季予你,143.1万,290702057,https://y.qq.com/n/ryqq/songDetail/004bd0Av3rVEE3
程响,等你归来,143.1万,293985379,https://y.qq.com/n/ryqq/songDetail/000lkMEi2bOZ0v
程响,世界这么大还是遇见你,143.1万,248929498,https://y.qq.com/n/ryqq/songDetail/001xLIXo2w9V7U
程响,不再联系,143.1万,102798993,https://y.qq.com/n/ryqq/songDetail/000p3XN73Y5vV6
程响,千里共婵娟,143.1万,237179755,https://y.qq.com/n/ryqq/songDetail/003B3YRf2bQBix
程响,想起了你,143.1万,225556832,https://y.qq.com/n/ryqq/songDetail/002jyUB34ePDOv
程响,四季予你 (DJ版),143.1万,291376747,https://y.qq.com/n/ryqq/songDetail/001s7GQy3JQxaZ
程响,孤陋寡闻,143.1万,328458806,https://y.qq.com/n/ryqq/songDetail/002XNXC04QXD2W
程响,四季予你 (DJ沈念版),143.1万,294273687,https://y.qq.com/n/ryqq/songDetail/001o8nbL0Vh3ST
莫文蔚,这世界那么多人,227.0万,309058164,https://y.qq.com/n/ryqq/songDetail/000EId433wXlQN
莫文蔚,盛夏的果实,227.0万,4830161,https://y.qq.com/n/ryqq/songDetail/0009BoCc0C2KFN
莫文蔚,一生所爱,227.0万,1727258,https://y.qq.com/n/ryqq/songDetail/000U510n3mqyBf
莫文蔚,慢慢喜欢你,227.0万,213212911,https://y.qq.com/n/ryqq/songDetail/002kkJSE0IeS1F
莫文蔚,忽然之间,227.0万,4830362,https://y.qq.com/n/ryqq/songDetail/000B0ypt0gL3vR
莫文蔚,阴天,227.0万,4830345,https://y.qq.com/n/ryqq/songDetail/0031PqYN0sj8K3
莫文蔚,电台情歌,227.0万,4933701,https://y.qq.com/n/ryqq/songDetail/000gt6Y92Dm4YQ
莫文蔚,如果没有你,227.0万,103848,https://y.qq.com/n/ryqq/songDetail/0037K4vg2IaLqH
莫文蔚,他不爱我,227.0万,4830343,https://y.qq.com/n/ryqq/songDetail/003V5znv2Cgy1D
莫文蔚,那么爱你为什么,227.0万,4830198,https://y.qq.com/n/ryqq/songDetail/004cjfOF1dkG8J
王小帅,哭泣站台,52.9万,331724115,https://y.qq.com/n/ryqq/songDetail/000fdOY92wZNmm
王小帅,怨苍天变了心 (吉他版),52.9万,319905785,https://y.qq.com/n/ryqq/songDetail/001dGNKF3KlMu0
王小帅,你头顶的风,52.9万,296546796,https://y.qq.com/n/ryqq/songDetail/000QDYVT13JXoS
王小帅,不是因为寂寞才想你,52.9万,247123388,https://y.qq.com/n/ryqq/songDetail/001cgpor2AnOa9
王小帅,我爱他,52.9万,247917916,https://y.qq.com/n/ryqq/songDetail/002KVKHw4JCGfJ
王小帅,最近,52.9万,230393521,https://y.qq.com/n/ryqq/songDetail/003yK5G20jEhIJ
王小帅,机场等船,52.9万,315808284,https://y.qq.com/n/ryqq/songDetail/001oUe4A2OjmTN
王小帅,余光边框,52.9万,308555513,https://y.qq.com/n/ryqq/songDetail/003PoX5c48XCKb
王小帅,辞九门回忆（翻自 李袈）,52.9万,327173375,https://y.qq.com/n/ryqq/songDetail/003Lq4LV4RFRCN
