行政区域,房屋名称,时间,价格(万),平均价格,房屋户型,总层数,建筑面积,户型结构,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,梯户比例,配备电梯,所在楼层
南通经济技术开发区,世家花园 2室1厅 68.28平米,20211119,85,12449,2室1厅,18,68.28,平层,板楼,南,未知,其他,钢混结构,四梯四户,有,高楼层
南通经济技术开发区,龙田花苑一期 3室2厅 117平米,20211126,116,9872,3室2厅,17,117,平层,板塔结合,南,未知,毛坯,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,星嘉花园 3室2厅 105.68平米,20211118,116,10977,3室2厅,6,105.68,平层,板楼,南,2011,毛坯,砖混结构,一梯两户,无,低楼层
南通经济技术开发区,星景花园 3室1厅 96.96平米,20211126,105,10830,3室1厅,6,96.96,平层,板楼,南,未知,简装,钢混结构,一梯两户,暂无数据,高楼层
南通经济技术开发区,海韵花园 3室2厅 196.09平米,20211118,144,7344,3室2厅,5,196.09,复式,板塔结合,南,2013,毛坯,框架结构,两梯两户,有,高楼层
南通经济技术开发区,万科翡翠公园 3室2厅 91平米,20211125,155,17033,3室2厅,27,91,平层,板塔结合,南,2015,精装,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,碧桂园(南通经济技术开发区) 3室2厅 127.91平米,20211125,200,15636,3室2厅,32,127.91,平层,板塔结合,南,2015,精装,钢混结构,两梯三户,有,低楼层
南通经济技术开发区,枫丹酩悦 3室2厅 116.17平米,20211117,130,11191,3室2厅,10,116.17,平层,板楼,南,2019,精装,钢混结构,一梯两户,有,中楼层
南通经济技术开发区,林肯公园 4室2厅 144平米,20211125,275,19098,4室2厅,9,144,平层,板塔结合,南,未知,其他,钢混结构,一梯两户,暂无数据,高楼层
南通经济技术开发区,南通橡树湾 2室2厅 90.41平米,20211124,149,16481,2室2厅,33,90.41,平层,板楼,南,未知,简装,钢混结构,两梯三户,有,中楼层
南通经济技术开发区,星月花园 2室2厅 105.7平米,20211117,152,14381,2室2厅,20,105.7,平层,板楼,南,2010,精装,砖混结构,一梯三户,有,中楼层
南通经济技术开发区,优山美地花园北区 1室1厅 64.26平米,20211116,38,5836,1室1厅,18,64.26,平层,塔楼,南,2010,精装,钢混结构,三梯十四户,有,高楼层
南通经济技术开发区,和融•优山美地名邸 3室2厅 114.07平米,20211124,158,13852,3室2厅,33,114.07,平层,板塔结合,南北,2009,精装,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,海尚家园 5室2厅 197平米,20211116,167,8457,5室2厅,18,197,复式,板楼,南,2014,毛坯,钢混结构,两梯三户,有,高楼层
南通经济技术开发区,绿地新里城 3室2厅 115.86平米,20211124,170,14673,3室2厅,34,115.86,平层,板塔结合,南,未知,精装,钢混结构,一梯四户,暂无数据,高楼层
南通经济技术开发区,万科翡翠公园 3室2厅 125.19平米,20211116,246,19624,3室2厅,6,125.19,平层,板塔结合,南,未知,精装,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,飞马国际 1室1厅 62.64平米,20211124,51,8062,1室1厅,15,62.64,平层,塔楼,南,2016,毛坯,钢混结构,三梯十一户,有,中楼层
南通经济技术开发区,鑫湖国贸中心 1室1厅 39.53平米,20211114,25,6198,1室1厅,30,39.53,平层,板塔结合,东南,2010,精装,钢混结构,四梯四十四户,有,高楼层
南通经济技术开发区,世家花园 2室1厅 71.93平米,20211124,88,12235,2室1厅,24,71.93,平层,板楼,南,2017,毛坯,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,万科有湖（翡翠心湖） 4室2厅 148.27平米,20211114,197,13274,4室2厅,34,148.27,平层,板楼,南,未知,精装,钢混结构,两梯两户,有,低楼层
南通经济技术开发区,碧桂园(南通经济技术开发区) 3室2厅 100.77平米,20211124,150,14886,3室2厅,32,100.77,平层,板塔结合,南,2015,精装,钢混结构,两梯三户,有,低楼层
南通经济技术开发区,富民新村(南通经济技术开发区) 2室1厅 60.26平米,20211114,71,11783,2室1厅,6,60.26,平层,板楼,南,1992,简装,砖混结构,一梯两户,无,中楼层
